Report generated on: 03-22-2023 15:00:55
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Generation (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.27-12-WORL-BKWH.A","        Nuclear (billion kWh)","684.380218970399","778.641894829824","866.986699756588","982.49256103806","1197.84611612309","1426.47518046108","1518.76965876341","1655.30614077561","1796.1016542685","1844.5626434595","1910.12004100967","1997.904169","2016.976568","2082.995441","2126.550589","2211.430158","2292.98698696","2272.7306736","2317.4670482","2394.2321468","2451.39628052","2518.2787124","2547.167007471","2519.2682696","2620.440522","2626.545073","2661.3128038","2609.6242712","2598.8695046","2561.7035888","2629.10387366","2518.0974628","2347.0947108","2364.296125","2419.59673","2448.1674216","2488.9862588","2517.0924138","2570.0849441","2668.7644566","2595.76518623","2698.33622708"
"INTL.28-12-WORL-BKWH.A","        Fossil fuels (billion kWh)","5588.874065247","5525.695247607","5563.292388937","5703.434012349","5912.569199488","6043.397152885094","6103.5351320080445","6398.839903837161","6613.935287410931","7053.6721755778135","7141.243425381255","7243.845302204044","7288.090937922068","7366.8195401665525","7568.480426759054","7804.469091668113","8065.9804838657765","8347.457581018076","8620.999657470393","8831.420799904534","9346.122309059","9572.290984172","9992.853493815","10517.646293812","10978.522527674","11459.903241909","11975.530404447","12781.747797769","12870.356100966","12700.603492275","13712.855100693","14325.551441457","14694.881241847","15035.670311553","15155.130978664","15355.581364914","15609.807215632","15947.524622043","16303.565057009","16250.801902987","15835.015388467","16832.819163241"
"","        Renewables (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.33-12-WORL-BKWH.A","            Hydroelectricity (billion kWh)","1722.568089788","1746.76266412","1790.224237136","1871.988605537","1933.867666767","1952.058454059493","1991.789856238307","1995.836318310668","2072.167699621639","2060.351660025754","2144.407810315621","2182.938412571389","2188.693854335699","2313.692202036941","2336.55695062464","2453.528955696972","2489.918966132877","2545.305736337","2552.109439491","2589.493158715","2622.098090352","2567.314613834","2611.044115378","2616.19163418","2787.253593921","2906.548084569","3007.529209321","3036.468803209","3172.875272757","3229.890484154","3408.536193093","3470.947281817","3630.080254971","3760.824482288","3831.164948416","3845.429486074","3983.153727306","4028.090770121","4160.594844382","4184.030315125","4322.707710439","4224.73410812"
"","            Non-hydroelectric renewables (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.35-12-WORL-BKWH.A","                Geothermal (billion kWh)","13.340079416","14.748162688","15.713864896","17.806101212","20.33450396","22.3538424024489","24.9847521535511","26.883891111","27.212258871","32.772943","35.700171","36.932444","38.068962","39.038565","38.900453","38.1301503889533","40.5671116110467","42.000458","44.562419","47.725775","51.397195","51.003378","51.795001167","53.509863018","55.691320949","56.412595301","57.807703477","60.433322239","63.118080403","65.11190956","64.837856505","65.813256231","66.977567172","68.444475402","73.204653182","77.121051773","79.225581261","81.700743616","85.273805492","87.496954516","90.663235461","91.783777061"
"","                Solar, tide, wave, fuel cell (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.117-12-WORL-BKWH.A","                    Tide and wave (billion kWh)","0.47","0.53","0.57","0.57","0.578","0.593","0.593","0.574","0.562","0.556","0.596","0.616","0.929","0.947","0.905","0.976","0.935","1.296","1.348","1.271","0.539","0.517","0.526","0.523","0.501","0.509","0.49","0.496","0.492","0.568","0.709","0.806","0.962","0.926","0.999","1.006","1.0271","1.032","1.005","1","0.989","0.974"
"INTL.116-12-WORL-BKWH.A","                    Solar (billion kWh)","0","0","0","0.00005","0.006297924","0.011680157","0.016131952","0.01159706","0.01119415","0.299527819","0.440390766","0.534170367","0.519460068","0.602892992","0.650746784","0.697649548","0.764220164","0.815669588","0.896526017","0.997710284","1.209574963","1.507008144","1.884477027","2.349908893","3.000124852","4.178581035","5.711970656","7.706575556","12.647760008","21.015897226","33.572002327","66.320584071","104.215592546","146.678325698","202.219805574","260.178522268","341.478487807","445.050819034","569.83774928","701.027151258","849.135469465","1036.244409148"
"INTL.37-12-WORL-BKWH.A","                Wind (billion kWh)","0.011","0.011","0.019","0.032667962","0.044490252","0.063761883","0.14018872","0.198541414","0.338871014","2.633943","3.6036","4.096951","4.612057","5.557926","7.284414","7.935523","9.288892","12.13404262","16.107491","21.276463","31.33167286","38.365161773","52.733140927","64.502858636","84.631386219","104.240886061","133.419796797","171.302534837","221.363017697","277.775368657","339.401427948","435.105793011","521.502832446","645.078310224","717.250170653","827.43472312","957.25118081","1127.113911403","1263.515951287","1399.096940518","1590.472511932","1807.798762411"
"INTL.38-12-WORL-BKWH.A","                Biomass and waste (billion kWh)","17.72589728761204","17.88891366461204","27.19215320061204","28.18085695861204","31.16580185661204","31.65251026061204","34.25922428661204","38.15101309961204","40.37793142461204","81.6833161887589","93.86284325843359","102.73457853218397","113.26336676294322","116.71743025306253","123.03698691707223","131.4874694411972","133.7682623620933","143.89642711843942","149.04908067037817","156.3691358938987","158.700321234","166.827977977","180.910454659","190.295934464","203.77122653","218.782104062","231.494263804","248.194777298","276.839201828","301.077493778","348.092566083","371.992443108","407.145946282","445.637929499","479.654451852","507.591875969","547.176101189","582.604903954","601.204394504","632.151593112","637.505169803","639.969019737"
