Report generated on: 03-23-2023 11:38:06
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.4702-33-DNK-THP.A","        Denmark","5123.267","5120.967","5117.474","5113.755","5111.491","5114.336","5121.599","5127.582","5129.581","5133.297","5142.322","5156.254","5173.681","5190.631","5208.564","5237.786","5266.086","5287.458","5306.558","5323.854","5342.015","5361.176","5377.825","5392.34","5406.243","5421.438","5439.725","5465.026","5498.079","5526.006","5550.919","5573.058","5594.336","5618.007","5647.535","5689.425","5733.2","5769.032","5796.747","5816.507","5833.564","5849.972","5876.924"
"INTL.4702-33-DJI-THP.A","        Djibouti","324.121","341.316","355.11","367.726","382.156","400.709","424.286","452.272","482.337","521.104","577.173","628.521","623.197","611.231","623.477","629.619","644.649","667.786","694.92","719.371","742.033","765.49","789.129","806.411","818.373","830.861","846.947","865.196","882.886","901.103","919.199","936.811","954.297","971.753","989.087","1006.259","1023.261","1040.233","1057.198","1073.994","1090.156","1105.557","1120.849"
"INTL.4702-33-DMA-THP.A","        Dominica","72.978","72.932","72.626","72.269","71.936","71.596","71.215","70.808","70.397","69.975","69.481","69.141","69.112","69.169","69.198","69.201","69.166","69.081","68.938","68.698","68.346","68.153","68.262","68.442","68.574","68.674","68.742","68.775","68.782","68.787","68.755","68.742","68.888","68.819","69.371","70.007","70.075","70.403","70.823","71.428","71.995","72.412","72.737"
"INTL.4702-33-DOM-THP.A","        Dominican Republic","5755.8","5885.244","6014.979","6147.213","6282.104","6417.798","6554.325","6692.72","6834.207","6980.033","7129.004","7278.402","7427.34","7576.074","7723.934","7869.753","8012.314","8150.076","8282.126","8411.374","8540.791","8669.04","8795.101","8919.852","9043.127","9164.768","9284.168","9402.206","9522.948","9648.061","9775.755","9903.737","10030.88","10157.05","10282.12","10405.83","10527.59","10647.24","10765.53","10881.88","10999.66","11117.87","11228.82"
"INTL.4702-33-ECU-THP.A","        Ecuador","8135.845","8352.602","8572.607","8795.873","9022.979","9254.311","9490.096","9729.376","9969.788","10210.18","10449.84","10686.28","10914.22","11132.83","11347.65","11561.68","11775.22","11987.84","12199.69","12412.05","12626.51","12845.52","13070.61","13301.18","13534.59","13770.01","14009.06","14251.83","14496.8","14742.77","14989.58","15237.73","15483.88","15722.99","15957.99","16195.9","16439.59","16696.94","17015.67","17343.74","17588.6","17797.74","18001"
"INTL.4702-33-EGY-THP.A","        Egypt","43748.55","44899.57","46088.65","47353.66","48676.44","50035.84","51424.31","52841.32","54298.45","55765.84","57214.63","58611.03","59989.14","61382.2","62775.85","64166.91","65565.2","66993.73","68446.01","69907.89","71371.37","72854.26","74393.76","75963.32","77522.43","79075.31","80629.67","82218.76","83844.78","85501.06","87252.41","89200.05","91240.38","93377.89","95592.32","97723.8","99784.03","101789.4","103740.8","105618.7","107465.1","109262.2","110990.1"
"INTL.4702-33-SLV-THP.A","        El Salvador","4508.992","4549.173","4599.904","4689.68","4782.219","4876.757","4970.788","5067.2","5170.44","5270.825","5367.179","5461.07","5552.206","5630.987","5693.038","5748.195","5797.14","5842.638","5885.083","5923.852","5958.482","5988.095","6011.275","6026.849","6035.655","6037.817","6034.436","6044.131","6068.099","6091.188","6114.034","6137.349","6161.289","6185.642","6209.526","6231.066","6250.51","6266.654","6276.342","6280.217","6292.731","6314.167","6336.392"
"INTL.4702-33-GNQ-THP.A","        Equatorial Guinea","282.509","296.95","315.741","336.744","357.995","378.379","397.276","414.769","431.587","448.42","465.549","483.142","501.334","520.236","539.992","560.74","582.573","605.57","629.734","655.029","684.977","719.27","754.115","789.681","826.355","864.726","905.418","948.814","994.971","1043.686","1094.524","1144.588","1193.636","1243.941","1295.183","1346.973","1398.927","1450.694","1502.091","1553.031","1596.049","1634.466","1674.908"
"INTL.4702-33-ERI-THP.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","2042.5","2157.22","2264.073","2291.561","2322.753","2356.477","2392.88","2461.927","2547.424","2653.39","2763.14","2831.732","2880.093","2926.168","3005.779","3083.888","3147.727","3207.57","3252.596","3296.367","3323.425","3340.006","3365.287","3396.933","3445.374","3498.818","3555.868","3620.312","3684.032"
"INTL.4702-33-EST-THP.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","1511.303","1476.952","1448.075","1425.192","1405.996","1393.074","1379.237","1401.25","1392.72","1383.51","1375.19","1366.25","1358.85","1350.7","1342.92","1338.44","1335.74","1333.29","1329.66","1325.217","1320.174","1315.819","1314.87","1315.944","1315.635","1319.133","1324.82","1328.976","1330.068","1329.129","1335.658"
"INTL.4702-33-SWZ-THP.A","        Eswatini","598.564","616.21","634.439","655.505","677.303","702.4","730.15","758.669","794.434","825.952","854.011","889.712","925.165","953.451","953.737","953.573","973.587","990.734","1005.158","1018.37","1030.496","1041.396","1050.809","1058.797","1065.764","1071.886","1077.735","1084.008","1089.87","1094.886","1099.92","1105.371","1111.444","1118.319","1125.865","1133.936","1142.524","1151.39","1160.428","1169.613","1180.655","1192.271","1201.67"
"INTL.4702-33-ETH-THP.A","        Ethiopia","34945.47","35818.84","37213.39","38235.19","39202.89","40285.96","41455.31","42851.96","44511.54","46195.95","47878.07","49937.43","52011.55","53791.67","55620.21","57476.54","59347.65","61233.48","63136.49","65077.58","67031.87","69018.93","71073.22","73168.84","75301.02","77469.94","79691.05","81996.19","84357.1","86755.59","89237.79","91817.93","94451.28","97084.37","99746.77","102471.9","105293.2","108198","111129.4","114120.6","117190.9","120283","123379.9"
"INTL.4702-33-FLK-THP.A","        Falkland Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4702-33-FRO-THP.A","        Faroe Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4702-33-FJI-THP.A","        Fiji","635.312","651.032","668.281","685.497","700.478","711.77","718.642","721.776","722.924","724.602","728.575","735.398","744.47","754.962","765.607","775.428","784.389","792.736","800.148","806.302","811.011","813.923","815.257","816.078","817.864","821.606","827.869","836.185","845.356","853.636","859.816","863.451","865.065","865.602","866.447","868.632","872.406","877.46","883.49","889.955","896.444","902.899","909.457"
"INTL.4702-33-FIN-THP.A","        Finland","4781.596","4803.011","4830.628","4859.304","4884.79","4904.321","4920.026","4933.742","4948.45","4966.874","4989.442","5017.556","5045.24","5069.313","5090.938","5110.049","5126.51","5141.713","5155.035","5166.931","5177.435","5189.731","5202.022","5214.693","5230.281","5248.467","5268.939","5291.661","5316.627","5342.01","5366.333","5391.521","5417.146","5442.046","5464.072","5481.475","5497.301","5509.442","5516.123","5522.527","5530.605","5537.399","5546.449"
"INTL.4702-33-CSK-THP.A","        Former Czechoslovakia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4702-33-SCG-THP.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4702-33-SUN-THP.A","        Former U.S.S.R.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4702-33-YUG-THP.A","        Former Yugoslavia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4702-33-FRA-THP.A","        France","55314.19","55624.99","55944.82","56223.01","56485.5","56749.29","57020.45","57306.86","57610.97","57924.77","58212.01","58495.57","58780.52","59022.42","59236.08","59444.61","59649.85","59856.7","60074.67","60400.09","60816.45","61257.27","61699.07","62131.68","62592.63","63058.35","63489.28","63871.39","64221.59","64543.12","64858.77","65165.14","65479.09","65953.86","66348.59","66570.8","66745.53","66945.07","67120.85","67266.75","67530.51","67735.27","67877.72"
"INTL.4702-33-GUF-THP.A","        French Guiana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","NA"
"INTL.4702-33-PYF-THP.A","        French Polynesia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4702-33-GAB-THP.A","        Gabon","749.078","768.904","789.585","811.098","833.417","856.482","880.34","905.016","930.464","956.509","983.028","1009.995","1037.446","1065.39","1093.611","1121.964","1150.601","1179.806","1209.832","1240.764","1272.935","1306.59","1341.696","1378.398","1417.11","1458.353","1502.534","1549.774","1599.978","1653.542","1711.105","1772.5","1836.705","1902.226","1966.855","2028.517","2086.206","2140.215","2192.012","2242.785","2292.573","2341.179","2388.992"
"INTL.4702-33-GMB-THP.A","        Gambia, The","718.586","742.846","768.272","795.563","824.798","855.958","888.98","923.914","960.837","999.732","1040.616","1083.536","1127.152","1168.309","1205.882","1242.155","1279.07","1317.002","1356.189","1396.499","1437.539","1479.449","1522.223","1566.257","1612.225","1660.368","1711.294","1764.883","1820.542","1878.119","1937.275","1998.212","2061.014","2124.869","2189.019","2253.133","2317.206","2381.182","2444.916","2508.883","2573.995","2639.916","2705.992"
"INTL.4702-33-GEO-THP.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","5239.328","5127.511","4997.913","4877.676","4761.272","4640.032","4518.405","4394.501","4265.172","4144.481","4061.128","4017.825","3988.86","3961.182","3933.867","3906.47","3879.698","3855.2","3836.831","3821.662","3804.356","3786.023","3774.235","3771.132","3771.11","3771.9","3772.325","3770.811","3765.912","3757.98","3744.385"
"INTL.4702-33-DEU-THP.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","79890.74","80286.69","80809.69","81084.88","81238.19","81413.62","81507.69","81475.62","81417.31","81447.19","81487.5","81562.38","81567.94","81493.69","81382.69","81239.75","81058.12","80857.38","80586.44","80319.82","80288.21","80450.3","80676.07","81036.26","81808.88","82391.91","82690.84","82934.14","83111.41","83159.41","83258.19","83483.69"
"INTL.4702-33-DDR-THP.A","        Germany, East","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4702-33-DEUW-THP.A","        Germany, West","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4702-33-GHA-THP.A","        Ghana","11865.24","12212.96","12584.98","12984.13","13342.49","13651.44","13971.68","14310.79","14671.68","15052.45","15446.98","15843.47","16241.54","16643.63","17040.85","17438.87","17844.01","18268.04","18714.71","19176.79","19665.5","20195.57","20758.33","21329.52","21906.44","22496.95","23098.59","23708.32","24326.09","24950.77","25574.72","26205.94","26858.76","27525.59","28196.36","28870.94","29554.3","30222.26","30870.64","31522.29","32180.4","32833.03","33475.87"
"INTL.4702-33-GIB-THP.A","        Gibraltar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4702-33-GRC-THP.A","        Greece","9657.086","9736.481","9797.423","9852.995","9901.726","9938","9971.741","10004.41","10042.26","10097.35","10215.76","10331.73","10407.04","10467.78","10518.68","10568.7","10613.92","10669.25","10727.33","10765.18","10813.36","10868.67","10905.46","10931.15","10958.83","10991.66","11024.27","11051.59","11082.07","11110.08","11121.85","11100.28","11034.66","10955.61","10883.81","10811.6","10774.03","10751.3","10730.81","10720.83","10693.61","10655.24","10619.62"
"INTL.4702-33-GRL-THP.A","        Greenland","50.106","50.719","51.341","51.984","52.638","53.22","53.727","54.248","54.778","55.298","55.599","55.657","55.688","55.708","55.7","55.788","55.96","56.072","56.123","56.106","56.184","56.386","56.565","56.728","56.866","56.887","56.811","56.708","56.578","56.442","56.351","56.288","56.199","56.089","55.953","55.895","55.916","55.928","55.931","55.931","56.026","56.243","56.466"
"INTL.4702-33-GRD-THP.A","        Grenada","94.838","95.222","96.534","98.177","99.618","100.576","100.893","100.599","99.877","99.224","99.047","99.758","101.04","102.173","103.174","104.06","104.846","105.549","106.2","106.823","107.432","107.936","108.231","108.74","109.516","110.254","110.988","111.725","112.478","113.249","114.039","114.918","115.912","116.945","117.972","118.98","119.966","120.921","121.838","122.724","123.663","124.61","125.438"
"INTL.4702-33-GLP-THP.A","        Guadeloupe","336.683","336.932","336.612","336.677","338.43","342.737","350.061","359.911","370.913","381.139","389.251","394.615","397.692","399.38","401.066","403.731","407.784","412.739","417.621","421.035","422.048","420.248","416.132","410.868","406.068","402.903","401.809","402.405","403.967","405.444","406.073","405.643","404.446","402.826","401.305","400.26","399.76","399.679","399.8283","399.9777","400.127","399.951","399.775"
"INTL.4702-33-GUM-THP.A","        Guam","104.133","106.485","108.906","111.402","113.961","116.572","119.232","121.919","124.673","127.522","130.482","133.558","136.692","139.818","142.802","145.561","148.06","150.303","152.277","153.953","155.329","156.401","157.176","157.717","158.101","158.402","158.648","158.847","159.036","159.226","159.444","159.692","159.996","160.407","161.016","161.853","162.951","164.281","165.768","167.294","NA","NA","NA"
"INTL.4702-33-GTM-THP.A","        Guatemala","6987.767","7165.502","7332.79","7512.048","7718.971","7932.185","8148.185","8369.359","8600.111","8839.538","9084.78","9329.557","9576.63","9831.868","10094.92","10363.09","10632.29","10905.38","11184.03","11463.5","11735.89","12009.19","12289.86","12570.5","12852.44","13132.81","13412.41","13696.61","13979.45","14259.41","14543.12","14833.45","15128.31","15422.66","15713.74","16001.11","16291","16578.72","16850.18","17106.34","17362.72","17608.48","17843.91"
"INTL.4702-33-GIN-THP.A","        Guinea","4972.609","5067.427","5170.731","5282.274","5402.084","5531.661","5671.38","5820.774","5977.175","6136.166","6354.145","6615.734","6832.195","7046.097","7262.112","7468.347","7683.115","7842.806","7992.545","8174.897","8336.967","8445.717","8577.79","8772.254","8961.039","9140.114","9330.625","9547.082","9779.785","10021.32","10270.73","10527.71","10788.69","11055.43","11333.37","11626","11930.99","12240.79","12554.86","12877.54","13205.15","13531.91","13859.34"
"INTL.4702-33-GNB-THP.A","        Guinea-Bissau","831.462","844.957","858.63","872.394","886.21","900.088","914.122","928.408","943.08","958.239","973.551","993.856","1022.904","1056.761","1089.617","1117.222","1140.604","1162.443","1184.071","1206.474","1230.849","1257.38","1285.678","1315.653","1347.009","1379.713","1414.091","1450.572","1488.431","1527.196","1567.22","1609.017","1652.717","1697.753","1743.309","1788.919","1834.552","1879.826","1924.955","1970.457","2015.828","2060.721","2105.566"
"INTL.4702-33-GUY-THP.A","        Guyana","778.176","779.686","779.639","778.372","776.007","772.671","768.508","763.706","758.45","752.897","747.116","744.096","744.998","747.189","749.546","751.689","753.571","755.211","756.697","758.014","759.051","759.809","760.323","760.562","760.424","759.709","758.367","756.521","754.15","751.258","747.932","744.23","743.966","747.42","751.115","755.031","759.087","763.252","785.514","798.753","797.202","804.567","808.726"
"INTL.4702-33-HTI-THP.A","        Haiti","5646.676","5760.197","5877.684","5997.739","6119.932","6245.539","6375.097","6508.349","6644.959","6784.161","6925.331","7066.055","7205.78","7345.94","7486.091","7627.316","7770.593","7915.172","8060.896","8208.941","8360.225","8511.728","8661.546","8812.245","8961.489","9111.9","9266.288","9420.826","9575.247","9730.638","9842.88","9954.312","10108.54","10261.21","10412.74","10563.76","10713.85","10863.54","11012.42","11160.44","11306.8","11447.57","11585"
"INTL.4702-33-HITZ-THP.A","        Hawaiian Trade Zone","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4702-33-HND-THP.A","        Honduras","3777.99","3895.736","4015.647","4137.784","4261.919","4387.693","4515.568","4645.733","4778.114","4913.676","5053.234","5196.887","5344.774","5496.841","5652.934","5812.832","5976.55","6144.112","6308.537","6477.365","6656.725","6837.861","7019.908","7201.881","7383.407","7564.613","7745.2","7924.462","8101.777","8277.302","8450.933","8622.504","8792.367","8960.657","9127.846","9294.505","9460.798","9626.842","9792.85","9958.829","10121.76","10278.34","10432.86"
"INTL.4702-33-HKG-THP.A","        Hong Kong","4990.214","5082.309","5169.475","5253.84","5337.555","5422.472","5508.586","5594.672","5680.333","5765.234","5848.761","5929.532","6008.107","6086.943","6168.473","6255.87","6353.865","6459.83","6565.119","6660.865","6738.816","6796.142","6838.62","6872.815","6905.416","6941.767","6980.077","7017.01","7054.403","7094.219","7138.828","7191.292","7249.703","7308.395","7361.523","7404.016","7435.576","7459.6","7477.688","7491.429","7501.88","7507.656","7508.211"
"INTL.4702-33-HUN-THP.A","        Hungary","10711.54","10711.61","10704.19","10686.79","NA","NA","NA","NA","NA","NA","NA","10373.46","10368.26","10355.64","10341.69","10327.03","10308.74","10287.79","10263.28","10233.56","10208.3","10184.39","10154.54","10126.35","10104.75","10084.45","10070.07","10053.19","10036.38","10020.57","9996.446","9952.099","9917.471","9889.152","9863.743","9839.893","9809.908","9785.567","9774.861","9770.737","9745.306","9723.599","9716.645"
"INTL.4702-33-ISL-THP.A","        Iceland","228.263","230.882","233.995","237.131","239.677","241.577","243.357","246.032","249.917","253.042","255.019","257.991","261.262","263.932","266.224","267.681","269.137","271.356","274.285","277.626","281.462","285.238","287.798","289.801","292.361","297.029","304.07","311.853","317.715","318.8","318.333","319.293","320.979","324.024","327.644","331.06","335.675","343.632","352.946","360.774","366.669","370.335","372.899"
"INTL.4702-33-IND-THP.A","        India","698814.4","714799.5","731232.4","748033.2","765119.8","782433","800024.5","817927.7","836068.5","854367.6","872765.4","891298.8","910002.5","928828.7","947724.6","966652.9","985644.3","1004720","1023838","1042946","1062032","1081220","1100504","1119680","1138536","1156878","1174653","1191998","1209040","1225907","1242724","1259544","1276282","1292816","1309022","1324814","1340294","1355509","1370303","1384521","1397976","1410448","1422081"
"INTL.4702-33-IDN-THP.A","        Indonesia","148614.5","152123.6","155683","159247.8","162771.6","166212.9","169564.6","172854.8","176104.8","179335.4","182563.5","185782.3","188981.4","192168.5","195351.9","198541.7","201753","204977.1","208186.8","211354.2","214451","217456.8","220392.8","223299.2","226216.9","229182.3","232199.7","235244.5","238301.5","241355.3","244399.2","247464.7","250552.5","253611.3","256587.3","259436.8","262169.4","264812.9","267360.9","269806.3","272135.5","274313","276352.2"
"INTL.4702-33-IRN-THP.A","        Iran","38520.66","40476.25","42500.03","44027.98","45628.4","47266.16","48913.24","50541.49","52111.87","53644.73","55793.63","57990.88","59372.02","59755.43","59985.75","60794.81","61598.38","62480.53","63461.42","64474.75","65544.38","66674.85","67327.12","67954.7","69061.67","70182.59","71275.76","72319.42","73318.39","74322.69","75373.85","76342.97","77324.45","78458.93","79961.67","81790.84","83306.23","84505.08","85617.56","86564.2","87290.2","87923.43","88550.57"
"INTL.4702-33-IRQ-THP.A","        Iraq","13653.37","14067.26","14467.68","14903.74","15377.03","15753.86","16148.22","16598.02","16987.35","17442.59","17658.38","17846.38","18385.67","19295.82","20248.07","20948.86","21639.33","22330.77","23053.49","23820.73","24628.86","25425.66","26255.34","27068.82","27858.95","28698.68","28905.61","28660.89","29218.38","30289.04","31264.88","32378.06","33864.45","35481.8","36746.49","37757.81","38697.94","39621.16","40590.7","41563.52","42556.98","43533.59","44496.12"
"INTL.4702-33-IRL-THP.A","        Ireland","3417.8","3458.05","3488.95","3513.65","3534.829","3537.091","3541.083","3538.755","3522.474","3510","3515.724","3537.549","3561.164","3577.984","3592.193","3611.647","3641.871","3678.974","3717.523","3760.48","3812.076","3874.607","3940.008","4004.604","4080.614","4171.975","4290.632","4413.647","4497.488","4538.888","4562.836","4582.385","4602.095","4627.324","4662.711","4708.039","4762.597","4813.139","4876.547","4941.865","4990.618","5026.568","5060.256"
"INTL.4702-33-ISR-THP.A","        Israel","3744.608","3816.745","3892.839","3979.093","4077.001","4182.681","4295.405","4412.03","4535.396","4666.782","4803.254","4942.812","5079.389","5212.998","5346.292","5478.734","5612.494","5743.283","5869.504","5994.088","6116.958","6237.982","6356.693","6475.913","6595.986","6714.124","6832.077","6952.003","7074.522","7199.703","7328.445","7459.749","7592.106","7726.676","7863.846","8007.778","8159.009","8309.257","8456.483","8607.919","8757.489","8900.059","9038.309"
"INTL.4702-33-ITA-THP.A","        Italy","56445.23","56507.27","56548.42","56564.34","56579.62","56594.26","56595.74","56603.79","56634.27","56677.43","56725.46","56762.12","56803.13","56834.46","56843.65","56844.28","56864.3","56893.88","56907.33","56918.12","56946.75","56977.45","57076.89","57358.88","57732.68","57993.16","58163.92","58491.95","58870.2","59119.06","59299.23","59383.14","59576.1","60371.13","60790.76","60714.32","60617.98","60523.52","60066.91","59707.18","59388.2","59177.63","59090.94"
"INTL.4702-33-JAM-THP.A","        Jamaica","2135.546","2166.657","2199.606","2232.782","2264.095","2292.03","2315.871","2336.245","2354.805","2373.365","2392.03","2411.867","2434.574","2459.062","2484.182","2509.372","2532.894","2554.954","2576.567","2596.271","2612.205","2625.405","2638.244","2651.027","2664.024","2676.863","2689.66","2701.221","2711.373","2722.401","2733.896","2746.169","2759.817","2773.129","2784.543","2794.445","2802.695","2808.376","2811.835","2813.773","2820.436","2827.695","2827.377"
"INTL.4702-33-JPN-THP.A","        Japan","117799.7","118711.7","119580.5","120398.2","121156.6","121850.4","122479.1","123047.7","123566","124045","124494.1","124918.4","125318.7","125692.6","126036.9","126349.1","126629.5","126881","127109.4","127320.7","127519.8","127708.8","127886.3","128049.1","128192.8","128313.9","128410.4","128481.2","128525.3","128541.1","128527.7","128483.7","128407.6","128297.1","128150.6","127966.8","127744.7","127483.8","127182.7","126840.3","126456.5","126039.8","125590.4"
"INTL.4702-33-JOR-THP.A","        Jordan","2216.903","2306.655","2406.349","2514.785","2629.939","2751.492","2879.799","3014.694","3157.177","3310.954","3480.587","3666.379","3866.887","4075.759","4278.166","4458.195","4608.676","4733.665","4844.403","4950.775","5056.174","5163.31","5275.532","5396.117","5532.423","5678.534","6075.548","6473.457","6632.873","6780.493","6931.258","7109.98","7211.863","7694.814","8658.026","9494.246","9964.656","10215.38","10459.87","10698.68","10928.72","11148.28","11285.87"
"INTL.4702-33-KAZ-THP.A","        Kazakhstan","--","--","--","--","--","--","--","--","--","--","--","--","17043.42","16979.7","16747.15","16434.32","16144.25","15820.43","15474.25","15256.25","15236.25","15281.29","15338.96","15416.71","15521.92","15656.25","15822.75","16006.14","16196.52","16402.37","16627.84","16864.92","17102.86","17345.73","17592.3","17835.91","18078.55","18314.81","18538.1","18754.26","18979.24","19196.46","19398"
"INTL.4702-33-KEN-THP.A","        Kenya","16187.12","16785.96","17411.49","18069.46","18753.17","19452.16","20160.88","20882.09","21626.12","22387.8","23162.27","23918.24","24655.72","25391.83","26133.74","26878.35","27615.73","28364.26","29137.37","29965.13","30851.6","31800.34","32779.82","33767.12","34791.84","35843.01","36925.25","38036.8","39186.89","40364.45","41517.89","42635.14","43725.8","44792.37","45831.86","46851.49","47894.67","48948.13","49953.3","50951.45","51985.77","53005.61","54027.49"
"INTL.4702-33-KIR-THP.A","        Kiribati","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","71.68","73.436","75.124","76.612","77.901","79.093","80.264","81.481","82.832","84.308","85.805","87.289","88.826","90.531","92.4","94.302","96.224","98.164","100.083","101.998","103.966","105.996","107.995","109.871","111.618","113.311","114.985","116.707","118.513","120.362","122.261","124.241","126.463","128.874","131.232"
"INTL.4702-33-XKS-THP.A","        Kosovo","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","1747.383","1761.474","1775.68","1791","1807.106","1818.117","1812.771","1788.196","1777.557","1791.003","1797.085","1788.878","1790.133","1806.279","1813.3"
"INTL.4702-33-KWT-THP.A","        Kuwait","1493.87","1573.026","1652.921","1736.028","1813.986","1888.975","1968.093","2048.477","2129.153","2210.013","1674.938","1339.5","1620.633","1653.645","1641.106","1655.222","1703.318","1761.468","1819.544","1877.427","1934.901","1991.674","2047.364","2101.506","2153.481","2235.403","2363.409","2506.769","2650.93","2795.55","2943.356","3143.825","3394.663","3646.518","3761.584","3908.743","4048.085","4124.904","4317.185","4441.1","4360.444","4250.114","4268.873"
"INTL.4702-33-KGZ-THP.A","        Kyrgyzstan","--","--","--","--","--","--","--","--","--","--","--","--","4501.26","4507.633","4530.895","4596.456","4666.585","4738.386","4810.412","4878.911","4935.182","4981.444","5026.641","5078.276","5137.04","5193.114","5246.785","5294.766","5345.415","5414.085","5483.774","5552.336","5631.95","5719.56","5814.417","5914.98","6018.299","6121.261","6223.494","6323.643","6424.874","6527.743","6630.623"
"INTL.4702-33-LAO-THP.A","        Laos","3297.519","3370.993","3453.691","3543.861","3639.956","3741.604","3848.39","3959.697","4074.961","4193.532","4314.443","4437.225","4561.106","4685.296","4807.95","4927.432","5043.914","5150.538","5246.922","5340.056","5430.853","5519.707","5606.101","5689.065","5768.167","5852.97","5946.593","6041.348","6135.861","6229.93","6323.418","6416.327","6508.803","6600.742","6691.454","6787.419","6891.363","6997.917","7105.006","7212.053","7319.399","7425.057","7529.475"
"INTL.4702-33-LVA-THP.A","        Latvia","--","--","--","--","--","--","--","--","--","--","--","--","2585.675","2540.904","2500.58","2469.531","2444.912","2420.789","2399.248","2381.715","2353.384","2320.956","2299.39","2276.52","2249.724","2227.874","2208.84","2191.81","2162.834","2120.504","2074.605","2044.813","2023.825","2001.468","1986.096","1968.957","1950.116","1934.379","1919.968","1907.675","1893.223","1877.466","1864.37"
"INTL.4702-33-LBN-THP.A","        Lebanon","2963.702","3027.222","3070.133","3106.99","3163.558","3226.75","3308.01","3390.87","3457.148","3525.502","3593.7","3666.734","3745.407","3818.796","3888.144","3959.64","4034.243","4107.551","4178.784","4250.02","4320.642","4389.2","4446.666","4504.807","4574.797","4643.044","4719.864","4809.608","4887.613","4951.135","4995.8","5045.056","5178.337","5678.851","6274.342","6398.94","6258.619","6109.252","5950.839","5781.907","5662.923","5592.631","5489.739"
"INTL.4702-33-LSO-THP.A","        Lesotho","1407.672","1447.501","1488.399","1530.331","1573.267","1616.697","1659.793","1698.939","1733.733","1767.091","1798.997","1829.509","1858.507","1885.478","1910.642","1934.079","1955.098","1972.579","1985.639","1994.243","1998.63","1999.473","1997.534","1993.03","1985.384","1977.424","1976.78","1983.465","1995.014","2009.169","2022.747","2037.677","2054.718","2073.939","2095.242","2118.521","2143.872","2170.617","2198.017","2225.702","2254.1","2281.454","2305.825"
