Report generated on: 03-23-2023 11:38:06
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.4702-33-AZE-THP.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","7643.338","7740.107","7821.88","7889.33","7949.101","8000.061","8041.096","8101.449","8190.337","8282.023","8372.127","8462.322","8556.164","8656.237","8763.353","8878.411","8999.696","9119.628","9237.202","9359.014","9485.576","9614.478","9741.88","9863.48","9976.248","10071.57","10152.52","10232.75","10306.88","10374.76","10436.26"
"INTL.4702-33-BHR-THP.A","        Bahrain","339.6053","350.8385","362.0717","373.305","384.5382","395.7715","410.2122","424.6529","439.0937","453.6295","468.1652","481.002","493.8388","506.6756","519.5124","532.3492","551.9819","599.4025","666.0934","733.6783","630.5129","670.5334","710.554","764.519","823.744","888.824","960.425","1039.297","1103.496","1178.415","1228.543","1195.02","1208.964","1253.191","1314.562","1370.322","1424.726","1501.116","1503.091","1483.756","1472.204","1504.365","1522.357"
"INTL.4702-33-BGD-THP.A","        Bangladesh","83929.77","86154.84","88555.34","91045.48","93534.24","95959.1","98271.74","100490.3","102688.8","104893.7","107147.6","109242.8","111272.1","113418.8","115614.9","117793.3","119876.9","122039.2","124350.5","126754.8","129193.3","131670.5","134139.8","136503.2","138789.7","140912.6","142628.8","144135.9","145421.3","146706.8","148391.1","150211","152090.7","154030.1","155961.3","157830","159784.6","161794","163684","165516.2","167421","169356.3","171186.4"
"INTL.4702-33-BRB-THP.A","        Barbados","253.575","254.684","255.642","256.505","257.279","257.911","258.37","258.654","258.762","258.759","258.868","259.402","260.212","260.995","261.712","262.303","262.793","263.224","263.642","264.17","264.657","265.377","266.455","267.499","268.505","269.477","270.425","271.444","272.635","273.791","274.711","275.486","276.197","276.865","277.493","278.083","278.649","279.187","279.688","280.18","280.693","281.2","281.635"
"INTL.4702-33-BLR-THP.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","10475.91","10480.48","10475.39","10461.7","10436.46","10400.92","10357.47","10308.28","10256.48","10201.21","10135.39","10065.88","9999.712","9935.163","9874.7","9825.986","9787.826","9757.708","9731.427","9706.981","9693.749","9691.137","9693.739","9700.609","9708.11","9707.876","9695.574","9673.971","9633.74","9578.167","9534.954"
"INTL.4702-33-BEL-THP.A","        Belgium","9860.275","9857.884","9856.731","9854.896","9855.959","9858.455","9862.556","9871.604","9908.151","9940.218","9972.277","10008.87","10050.95","10088.51","10119.34","10138.37","10160.04","10184","10205.69","10229.58","10254.29","10292.36","10338.54","10381.21","10427.31","10486.81","10557.1","10635.99","10720.75","10807.35","10940.37","11047.67","11114.69","11164.77","11216.11","11283.43","11336.5","11381.02","11434.17","11497.35","11549.69","11589.21","11623.69"
"INTL.4702-33-BLZ-THP.A","        Belize","145.133","148.764","152.409","156.053","159.721","163.436","167.191","170.98","174.817","178.695","182.589","186.462","190.299","194.177","198.416","203.556","209.84","217.117","224.907","232.733","240.406","248.1","255.987","263.998","272.128","280.375","288.729","297.173","305.671","314.171","322.106","329.538","337.059","344.688","352.335","359.871","367.313","374.693","382.066","389.095","394.921","400.031","405.272"
"INTL.4702-33-BEN-THP.A","        Benin","3833.939","3941.569","4054.385","4171.526","4293.07","4419.552","4551.382","4688.787","4831.624","4979.68","5133.419","5293.046","5457.778","5706.181","5923.394","6046.511","6203.86","6387.026","6584.183","6788.589","6998.023","7212.041","7431.783","7659.208","7894.554","8149.419","8402.631","8647.761","8906.469","9172.514","9445.71","9726.38","10014.08","10308.73","10614.84","10932.78","11260.08","11596.78","11940.68","12290.44","12643.12","12996.89","13352.86"
"INTL.4702-33-BMU-THP.A","        Bermuda","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","56.74","57.111","57.47","57.874","58.322","58.739","59.111","59.465","59.84","60.227","60.603","60.981","61.371","61.763","62.139","62.468","62.74","62.959","63.081","63.156","63.258","63.353","63.447","63.533","63.56","63.506","63.355","63.144","63.068","63.275","63.571","63.812","64.031","64.185","64.184"
"INTL.4702-33-BTN-THP.A","        Bhutan","415.257","428.641","442.201","456.033","470.165","484.528","499.151","514.026","529.051","544.209","558.442","567.71","545.944","520.838","521.26","527.536","537.494","546.865","557.143","570.99","587.207","603.234","619.048","634.627","649.991","663.323","673.26","681.614","689.737","697.678","705.516","713.331","721.145","728.889","736.357","743.274","749.761","756.121","762.096","767.459","772.506","777.486","782.455"
