Report generated on: 03-25-2023 22:46:56
"INTL.4418-2-ABW-QBTU.A","            Renewables and other (quad Btu)","0.00130647036"
"","Australia",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-AUS-QBTU.A","        Coal (quad Btu)","1.6969312797035991"
"INTL.4413-2-AUS-QBTU.A","        Natural gas (quad Btu)","1.6540347931796417"
"INTL.4415-2-AUS-QBTU.A","        Petroleum and other liquids (quad Btu)","2.38293906705196"
"","        Nuclear, renewables, and other (quad Btu)",""
"none","            Nuclear (quad Btu)",""
"INTL.4418-2-AUS-QBTU.A","            Renewables and other (quad Btu)","0.4722316305143577"
"","Austria",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-AUT-QBTU.A","        Coal (quad Btu)","0.0777984502725176"
"INTL.4413-2-AUT-QBTU.A","        Natural gas (quad Btu)","0.33444362700086905"
"INTL.4415-2-AUT-QBTU.A","        Petroleum and other liquids (quad Btu)","0.57889345654343"
"","        Nuclear, renewables, and other (quad Btu)",""
"none","            Nuclear (quad Btu)",""
"INTL.4418-2-AUT-QBTU.A","            Renewables and other (quad Btu)","0.5253348752190108"
"","Azerbaijan",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-AZE-QBTU.A","        Coal (quad Btu)","0.0003161587797805895"
"INTL.4413-2-AZE-QBTU.A","        Natural gas (quad Btu)","0.4240116661392"
"INTL.4415-2-AZE-QBTU.A","        Petroleum and other liquids (quad Btu)","0.2106613996"
"","        Nuclear, renewables, and other (quad Btu)",""
"INTL.4417-2-AZE-QBTU.A","            Nuclear (quad Btu)",""
"INTL.4418-2-AZE-QBTU.A","            Renewables and other (quad Btu)","0.01224933875"
"","Bahrain",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-BHR-QBTU.A","        Coal (quad Btu)","0"
"INTL.4413-2-BHR-QBTU.A","        Natural gas (quad Btu)","0.6540391556946"
"INTL.4415-2-BHR-QBTU.A","        Petroleum and other liquids (quad Btu)","0.1374566246"
"","        Nuclear, renewables, and other (quad Btu)",""
"none","            Nuclear (quad Btu)",""
"INTL.4418-2-BHR-QBTU.A","            Renewables and other (quad Btu)","0.00078851"
"","Bangladesh",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-BGD-QBTU.A","        Coal (quad Btu)","0.12435127902719824"
"INTL.4413-2-BGD-QBTU.A","        Natural gas (quad Btu)","1.169220506754986"
"INTL.4415-2-BGD-QBTU.A","        Petroleum and other liquids (quad Btu)","0.2600474638"
"","        Nuclear, renewables, and other (quad Btu)",""
"none","            Nuclear (quad Btu)",""
"INTL.4418-2-BGD-QBTU.A","            Renewables and other (quad Btu)","0.0330072145"
"","Barbados",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-BRB-QBTU.A","        Coal (quad Btu)","0"
"INTL.4413-2-BRB-QBTU.A","        Natural gas (quad Btu)","0.000774370852293"
"INTL.4415-2-BRB-QBTU.A","        Petroleum and other liquids (quad Btu)","0.022899732199999998"
"","        Nuclear, renewables, and other (quad Btu)",""
"none","            Nuclear (quad Btu)",""
"INTL.4418-2-BRB-QBTU.A","            Renewables and other (quad Btu)","0.00039182"
"","Belarus",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-BLR-QBTU.A","        Coal (quad Btu)","0.007648055798239088"
"INTL.4413-2-BLR-QBTU.A","        Natural gas (quad Btu)","0.6826078328559"
"INTL.4415-2-BLR-QBTU.A","        Petroleum and other liquids (quad Btu)","0.2692263887"
"","        Nuclear, renewables, and other (quad Btu)",""
"INTL.4417-2-BLR-QBTU.A","            Nuclear (quad Btu)",""
"INTL.4418-2-BLR-QBTU.A","            Renewables and other (quad Btu)","0.002327970900619291"
"","Belgium",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-BEL-QBTU.A","        Coal (quad Btu)","0.10127543459876202"
