"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2022","8.728","8.679","8.936","8.403","80.22K","-0.46%"
"08/12/2022","8.768","8.717","8.919","8.516","68.13K","-1.19%"
"08/11/2022","8.874","8.222","8.994","8.178","141.75K","8.19%"
"08/10/2022","8.202","7.858","8.267","7.705","111.81K","4.71%"
"08/09/2022","7.833","7.666","7.889","7.623","88.51K","3.22%"
"08/08/2022","7.589","7.876","7.917","7.532","117.79K","-5.89%"
"08/05/2022","8.064","8.151","8.248","7.898","111.70K","-0.71%"
"08/04/2022","8.122","8.281","8.450","7.825","102.54K","-1.74%"
"08/03/2022","8.266","7.671","8.480","7.550","134.21K","7.27%"
"08/02/2022","7.706","8.228","8.233","7.625","106.08K","-6.97%"
"08/01/2022","8.283","7.910","8.298","7.753","104.02K","0.66%"
"07/29/2022","8.229","8.155","8.388","8.010","77.77K","1.17%"
"07/28/2022","8.134","8.580","8.845","8.103","89.24K","-4.91%"
"07/27/2022","8.554","8.701","8.990","8.345","105.22K","-3.07%"
"07/26/2022","8.825","8.667","9.419","8.568","146.56K","2.96%"
"07/25/2022","8.571","8.273","8.704","8.202","79.05K","4.59%"
"07/22/2022","8.195","7.780","8.293","7.652","86.58K","4.86%"
"07/21/2022","7.815","7.769","8.045","7.485","84.55K","-1.06%"
"07/20/2022","7.899","7.200","7.925","7.057","75.27K","10.48%"
"07/19/2022","7.150","7.329","7.453","7.017","58.01K","-3.14%"
"07/18/2022","7.382","7.021","7.460","6.987","52.89K","6.58%"
"07/15/2022","6.926","6.584","7.047","6.351","49.32K","6.37%"
"07/14/2022","6.511","6.544","6.806","6.461","69.08K","-1.18%"
"07/13/2022","6.589","6.125","6.683","6.058","67.36K","9.43%"
"07/12/2022","6.021","6.395","6.647","5.895","73.23K","-4.72%"
"07/11/2022","6.319","6.314","6.590","6.160","70.94K","4.72%"
"07/08/2022","6.034","6.188","6.305","6.012","","-4.18%"
"07/07/2022","6.297","5.539","6.381","5.488","127.67K","14.28%"
"07/06/2022","5.510","5.460","5.737","5.380","73.51K","-0.24%"
"07/05/2022","5.523","5.712","5.907","5.325","110.17K","-5.64%"
"07/04/2022","5.853","5.712","5.905","5.606","","2.52%"
"07/03/2022","5.709","5.701","5.734","5.678","","-0.37%"
"07/01/2022","5.730","5.701","5.950","5.590","106.97K","5.64%"
"06/30/2022","5.424","6.428","6.602","5.357","182.58K","-16.53%"
"06/29/2022","6.498","6.632","6.833","6.405","82.21K","-0.81%"
"06/28/2022","6.551","6.449","6.765","6.386","2.46K","0.77%"
"06/27/2022","6.501","6.126","6.538","6.010","33.10K","4.52%"
"06/24/2022","6.220","6.228","6.337","6.021","26.57K","-0.30%"
"06/23/2022","6.239","6.829","6.840","6.175","78.03K","-9.03%"
"06/22/2022","6.858","6.844","6.930","6.575","92.47K","0.73%"
"06/21/2022","6.808","6.800","6.976","6.554","120.01K","1.42%"
"06/20/2022","6.713","6.706","6.840","6.635","","0.16%"
